-9984.72,7.69999,-1.40528e-10,-9983.05,7.69999,-1.97799e-08,-9981.38,7.69999,-1.34504e-11,-9979.72,7.69999,-1.95396e-07,-9978.05,7.69999,-2.19151e-07,-9976.38,7.69998,-2.12691e-06,-9974.72,7.69998,-4.55434e-06,-9973.05,7.69995,-2.56983e-05,-9971.38,7.69991,-1.35299e-05,-9969.72,7.69989,-1.1231e-05,-9968.05,7.69987,-9.28633e-06,
-9984.72,7.69999,-1.40528e-10,-9983.05,7.69999,-1.97799e-08,-9981.38,7.69999,-1.66015e-08,-9979.72,7.69999,-2.4838e-09,-9978.05,7.69999,-1.76868e-07,-9976.38,7.69999,-2.65791e-07,-9974.72,7.69998,-2.12007e-06,-9973.05,7.69998,-4.49854e-06,-9971.38,7.69995,-2.40671e-05,-9969.72,7.69991,-2.12055e-05,-9968.05,7.69987,-1.24751e-05,-9966.38,7.69985,-6.40902e-06,
-9982.42,7.69999,-1.51996e-10,-9980.75,7.69999,-1.98185e-08,-9979.09,7.69999,-3.67363e-10,-9977.42,7.69999,-1.94688e-07,-9975.75,7.69999,-2.20882e-07,-9974.09,7.69999,-2.12813e-06,-9972.42,7.69998,-4.56402e-06,-9970.75,7.69995,-2.55588e-05,-9969.09,7.69991,-1.29868e-05,-9967.42,7.69989,-1.1299e-05,-9965.75,7.69987,-9.55996e-06,
-9982.42,7.69999,-1.51996e-10,-9980.75,7.69999,-1.98185e-08,-9979.09,7.69999,-1.93095e-08,-9977.42,7.69999,2.50133e-11,-9975.75,7.69999,-1.90727e-07,-9974.09,7.69999,-2.17439e-07,-9972.42,7.69999,-2.09347e-06,-9970.75,7.69998,-4.49511e-06,-9969.09,7.69995,-2.51153e-05,-9967.42,7.69991,-1.26367e-05,-9965.75,7.69989,-1.09981e-05,-9964.09,7.69987,-9.27938e-06,
-9982.42,7.69999,-1.51996e-10,-9980.75,7.69999,-1.98185e-08,-9979.09,7.69999,-1.93095e-08,-9977.42,7.69999,-1.8552e-08,-9975.75,7.69999,9.05402e-12,-9974.09,7.69999,-1.83328e-07,-9972.42,7.69999,-2.09459e-07,-9970.75,7.69999,-2.0144e-06,-9969.09,7.69998,-4.32798e-06,-9967.42,7.69995,-2.40857e-05,-9965.75,7.69992,-1.19487e-05,-9964.09,7.6999,-1.08441e-05,-9962.42,7.69988,-9.25638e-06,
-9978.66,7.69999,-1.68181e-10,-9977,7.69999,-1.77949e-08,-9975.33,7.69999,-3.27142e-11,-9973.66,7.69999,-1.74976e-07,-9972,7.69999,-1.94452e-07,-9970.33,7.69999,-1.89076e-06,-9968.66,7.69998,-4.0094e-06,-9967,7.69995,-2.29797e-05,-9965.33,7.69992,-1.15416e-05,-9963.66,7.6999,-9.39032e-06,-9962,7.69988,-7.95727e-06,
-9978.66,7.69999,-1.68181e-10,-9977,7.69999,-1.77949e-08,-9975.33,7.69999,-1.96459e-08,-9973.66,7.69999,-1.17722e-11,-9972,7.69999,-1.93652e-07,-9970.33,7.69999,-2.17729e-07,-9968.66,7.69999,-2.10828e-06,-9967,7.69998,-4.4947e-06,-9965.33,7.69995,-2.55467e-05,-9963.66,7.69991,-1.3519e-05,-9962,7.69989,-1.2698e-05,-9960.33,7.69986,-1.05061e-05,
-9978.66,7.69999,-1.68181e-10,-9977,7.69999,-1.77949e-08,-9975.33,7.69999,-1.96459e-08,-9973.66,7.69999,-1.81705e-08,-9972,7.69999,-1.90265e-11,-9970.33,7.69999,-1.79165e-07,-9968.66,7.69999,-2.00862e-07,-9967,7.69999,-1.94725e-06,-9965.33,7.69998,-4.1494e-06,-9963.66,7.69995,-2.36402e-05,-9962,7.69992,-1.27248e-05,-9960.33,7.69989,-1.17045e-05,-9958.66,7.69987,-9.58146e-06,
-9977,7.69999,-1.77949e-08,-9975.33,7.69999,-1.96459e-08,-9973.66,7.69999,-1.81705e-08,-9972,7.69999,-2.0182e-08,-9970.33,7.69999,-1.18179e-12,-9968.66,7.69999,-1.99771e-07,-9967,7.69999,-2.25157e-07,-9965.33,7.69999,-2.18008e-06,-9963.66,7.69998,-4.5914e-06,-9962,7.69995,-2.6031e-05,-9960.33,7.69991,-1.4631e-05,-9958.66,7.69988,-1.33825e-05,-9957,7.69986,-1.07403e-05,
-9973.12,7.7,-1.84573e-10,-9971.46,7.7,-1.0745e-08,-9969.79,7.7,8.96937e-10,-9968.12,7.69999,-1.02052e-07,-9966.46,7.69999,-9.77603e-08,-9964.79,7.69999,-1.07761e-06,-9963.12,7.69999,-2.15521e-06,-9961.46,7.69998,-1.30283e-05,-9959.79,7.69996,-4.99135e-06,-9958.12,7.69995,-7.07409e-06,-9956.46,7.69993,-6.84428e-06,
-9973.12,7.7,-1.84573e-10,-9971.46,7.7,-1.0745e-08,-9969.79,7.7,-1.05439e-08,-9968.12,7.7,-2.72244e-10,-9966.46,7.69999,-1.00721e-07,-9964.79,7.69999,-1.01799e-07,-9963.12,7.69999,-1.04382e-06,-9961.46,7.69999,-2.11971e-06,-9959.79,7.69998,-1.27209e-05,-9958.12,7.69996,-4.93882e-06,-9956.46,7.69995,-6.63711e-06,-9954.79,7.69993,-6.36078e-06,
-9973.12,7.7,-1.84573e-10,-9971.46,7.7,-1.0745e-08,-9969.79,7.7,-1.05439e-08,-9968.12,7.69999,-1.06161e-08,-9966.46,7.7,-7.93144e-10,-9964.79,7.69999,-1.01109e-07,-9963.12,7.69999,-1.06801e-07,-9961.46,7.69999,-1.04837e-06,-9959.79,7.69999,-2.17442e-06,-9958.12,7.69998,-1.27735e-05,-9956.46,7.69996,-5.80795e-06,-9954.79,7.69995,-6.95407e-06,-9953.12,7.69993,-6.27768e-06,
-9971.46,7.7,-1.0745e-08,-9969.79,7.7,-1.05439e-08,-9968.12,7.69999,-1.06161e-08,-9966.46,7.69999,-9.75263e-09,-9964.79,7.69999,4.56662e-11,-9963.12,7.69999,-9.47135e-08,-9961.46,7.69999,-9.34133e-08,-9959.79,7.69999,-9.73722e-07,-9958.12,7.69999,-1.97692e-06,-9956.46,7.69998,-1.15851e-05,-9954.79,7.69996,-3.89853e-06,-9953.12,7.69995,-5.7722e-06,-9951.46,7.69994,-5.80584e-06,
-9969.79,7.7,-1.05439e-08,-9968.12,7.69999,-1.06161e-08,-9966.46,7.69999,-9.75263e-09,-9964.79,7.69999,-1.02308e-08,-9963.12,7.69999,-5.52081e-12,-9961.46,7.69999,-1.00651e-07,-9959.79,7.69999,-1.0627e-07,-9958.12,7.69999,-1.04562e-06,-9956.46,7.69999,-2.13761e-06,-9954.79,7.69998,-1.27056e-05,-9953.12,7.69996,-5.39516e-06,-9951.46,7.69995,-6.74624e-06,-9949.79,7.69993,-6.25823e-06,
